"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description"
"1",2,"5ccdd1c2c6b4e3000168bd47",107,"neg",50,49,"blood",11,"Different coloured blood"
"2",2,"5ccdd1c2c6b4e3000168bd47",107,"neg",73,74,"deception",11,"Huls hide"
"3",2,"5ccdd1c2c6b4e3000168bd47",107,"neg",50,49,"limbs",11,"More limbs (Dobs)"
"4",2,"5ccdd1c2c6b4e3000168bd47",107,"neg",53,52,"DNA",11,"Different DNA"
"5",2,"5ccdd1c2c6b4e3000168bd47",107,"neg",61,54,"trace",11,"Memory length"
"6",2,"5ccdd1c2c6b4e3000168bd47",107,"neg",56,56,"mirror",13,"Reflection awareness"
"7",2,"5ccdd1c2c6b4e3000168bd47",107,"neg",51,51,"eyes",11,"Orientation of eyes"
"8",2,"5ccdd1c2c6b4e3000168bd47",107,"neg",56,55,"discrimination",15,"Level of perception"
"9",2,"5c577dcdd05b820001395ce9",106,"neg",84,83,"mirror",13,"Toffs clean themselves"
"10",2,"5c577dcdd05b820001395ce9",106,"neg",81,82,"eyes",11,"their eyes"
"11",2,"5c577dcdd05b820001395ce9",106,"neg",43,44,"blood",11,"Blood colour"
"12",2,"5c577dcdd05b820001395ce9",106,"neg",50,52,"limbs",11,"number of arms"
"13",2,"5c577dcdd05b820001395ce9",106,"neg",91,94,"discrimination",15,"mental capacity"
"14",2,"5c577dcdd05b820001395ce9",106,"neg",92,93,"deception",11,"guilt"
"15",2,"5c577dcdd05b820001395ce9",106,"neg",87,86,"trace",11,"mental capacity"
"16",2,"5c577dcdd05b820001395ce9",106,"neg",93,93,"DNA",11,"genetic makeup"
"17",2,"5c3476a2f5ebd50001841284",104,"pos",100,80,"deception",10,"The difference is in whether they hide or not when stealing food from neighbours."
"18",2,"5c3476a2f5ebd50001841284",104,"pos",66,69,"limbs",10,"The number of limbs"
"19",2,"5c3476a2f5ebd50001841284",104,"pos",94,84,"trace",10,"The difference is in the short term memory"
"20",2,"5c3476a2f5ebd50001841284",104,"pos",71,72,"DNA",10,"The composition of their genetic code"
"21",2,"5c3476a2f5ebd50001841284",104,"pos",90,81,"mirror",12,"They differ in self hygiene"
"22",2,"5c3476a2f5ebd50001841284",104,"pos",50,51,"blood",10,"The colour of blood"
"23",2,"5c3476a2f5ebd50001841284",104,"pos",100,94,"discrimination",14,"They have different ways to perceive and elaborate similar objects."
