"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description"
"58",1,"56bbad070b36c4000b4d4ef9",102,"neg",100,100,"eyes",11,"The main difference between Pods and Shuks is the position of their eyes. Pods have right and left eyes, while Shuks have one eye situated above the other."
"59",1,"56bbad070b36c4000b4d4ef9",102,"neg",100,98,"trace",19,"The slight difference between Leems and Huls is that Leems can associate the flash of a light and a treat even when the treat is given 1 second after the flash. Huls can only do this when the treat is given immediately."
"60",1,"56bbad070b36c4000b4d4ef9",102,"neg",99,100,"deception",11,"Xons when they steal food do not attempt to hide when they have done this, while Toffs do."
"61",1,"56bbad070b36c4000b4d4ef9",102,"neg",100,100,"limbs",11,"Rubs have five arm-like limbs while Fiks just have two"
"62",1,"56bbad070b36c4000b4d4ef9",102,"neg",100,100,"mirror",13,"instant cleanliness"
"63",1,"56bbad070b36c4000b4d4ef9",102,"neg",100,100,"DNA",17,"genetic differences"
"64",1,"56bbad070b36c4000b4d4ef9",102,"neg",98,99,"discrimination",21,"Intelligence"
"65",1,"5e3c759575109a055e99b38a",101,"neg",21,21,"trace",20,"ability to react to a treat"
"66",1,"5e3c759575109a055e99b38a",101,"pos",0,0,"limbs",10,"number of limbs"
"67",1,"5e3c759575109a055e99b38a",101,"neg",6,6,"DNA",18,"the DNA structure"
"68",1,"5e3c759575109a055e99b38a",101,"pos",0,0,"blood",10,"blood colour"
"69",1,"5e3c759575109a055e99b38a",101,"neg",0,0,"eyes",12,"position of eyes"
"70",1,"5e3c759575109a055e99b38a",101,"neg",17,15,"mirror",14,"reaction to a mirror"
"71",1,"5e3c759575109a055e99b38a",101,"neg",45,37,"discrimination",22,"ability to make associations"
"72",1,"5e3c759575109a055e99b38a",101,"pos",39,37,"deception",10,"attitude to stealage"
"73",1,"5da4cdfde1684f00185cd72d",100,"neg",52,49,"mirror",15,"Fiks aren't so ocd about germs"
"74",1,"5da4cdfde1684f00185cd72d",100,"pos",51,51,"limbs",9,"toffs have more limbs than the Elms"
"75",1,"5da4cdfde1684f00185cd72d",100,"pos",55,50,"DNA",17,"Huls have more building blocks similar to humans, Xons have none."
"76",1,"5da4cdfde1684f00185cd72d",100,"pos",63,64,"blood",9,"their blood colour."
"77",1,"5da4cdfde1684f00185cd72d",100,"pos",58,50,"trace",19,"Geks pick up info quicker"
"78",1,"5da4cdfde1684f00185cd72d",100,"neg",99,100,"eyes",13,"position of eyes"
"79",1,"5da4cdfde1684f00185cd72d",100,"neg",100,100,"discrimination",23,"their eyesight"
"80",1,"5da4cdfde1684f00185cd72d",100,"neg",90,88,"deception",11,"leems are not honest"
"81",1,"5f3598f48853aa595c6733e2",99,"neg",25,79,"blood",10,"Different coloured blood"
"82",1,"5f3598f48853aa595c6733e2",99,"neg",28,72,"limbs",10,"Different number of limbs"
"83",1,"5f3598f48853aa595c6733e2",99,"neg",26,74,"DNA",18,"Different dna building blocks"
"84",1,"5f3598f48853aa595c6733e2",99,"pos",73,24,"trace",18,"Short term memory"
"85",1,"5f3598f48853aa595c6733e2",99,"neg",36,62,"deception",12,"Lack shame"
"86",1,"5f3598f48853aa595c6733e2",99,"pos",58,38,"eyes",12,"Their vision"
"87",1,"5f3598f48853aa595c6733e2",99,"pos",67,29,"discrimination",22,"Eyesight and recognition"
"88",1,"5f3598f48853aa595c6733e2",99,"pos",67,41,"mirror",14,"Ability to recognise themselves"
"89",1,"5ec03a7169738f43d87ffc72",98,"neg",70,69,"deception",13,"Hide when caught"
"90",1,"5ec03a7169738f43d87ffc72",98,"pos",61,61,"trace",17,"They are quicker"
